# Lines starting with '#''' are comments. Comment lines must form a continuous        
# block at the beginning of this file.             
# The last comment line is not really a comment. It must contain the names of     
# the variables that are used in the code.            
# The data has to start in the following line.           
#                    
# List of variables:                 
# TS: timestep                  
# OHair1: OH-readical conc. based factor to multiply with avg. degradation rate in upper air      
# OHair2: OH-readical conc. based factor to multiply with avg. degradation rate in lower air      
# Based on data from:                
# Spivakovsky  C. M.  Logan J. A.  Montzka S. A.  Balkanski Y. J.  Foreman-Fowler M. 
# Jones D. B. A.  Horowitz L.W.  Fusco A. C.  Brenninkmeijer C. A. M.  Prather M. J.
# Wofsy S. C.  McElroy M. B.  2000  Three-dimensional climatological distribution of      
# tropospheric OH: Update and evaluation. Journal of geophysical research  Vol. 105        
# No. D7  pp 8931-8980.               
#                    
# precip: monthly average precipitation [m/h]               
# stwet: average length of rain events [h]             
# stdry: average length of dry spells [h]             
# tair1: temperature upper air [K]               
# tair2: temperature lower air [K]               
# tocean: temperature ocean surface [K]               
# tland: temperature land surface [K]               
# h1: Average upper air compartment height [m]             
# h2: Average lower air compartment height [m]             
# h5: Average ocean compartment depth [m]              
# runoffwater: water runoff                 
# tspe: time since plowing event [month]              
# perc8: percentage of ocean covered by Sea Ice [-]           
#                    
#CELL TS OHair1 OHair2 precip stwet stdry tair1 tair2 tocean tland h1 h2 h5 mixing12 mixing21 runoff6water tspe perc8  
3 12 0.0015073666 0.0016224054 0.0098138632 4.0972181756 639.1228503554 237.6559310913 250.9311431885 271.2504348755 -999.99 5036.701953125 1091.3477905273 157.7138641357 3.097568565 2.192836372 0 1460 0.9714473839  
4 1 0.0015130597 0.0013949873 0.0074798113 3.725706006 652.2801487993 236.9010231018 249.6629089355 271.2505599976 241.4061088562 5015.7739746094 1086.0444580078 146.5879646301 2.891979271 2.618465135 0 2190 0.976329895  
4 2 0.0044277188 0.0027927354 0.0061305546 2.3310057723 678.5954950471 236.1627403259 249.1205635071 271.2505767822 240.6999107361 4997.6754150391 1083.6449584961 156.5677070618 3.324141557 2.162317604 0 2920 0.9783365936  
4 3 0.0483208186 0.026107538 0.005937762 2.821155394 675.6229633413 236.7757667542 249.6834617615 271.2505020142 242.0122093201 5017.6193359375 1086.3205444336 164.4576553345 2.949057699 2.927676516 0 3650 0.9827039719  
4 4 0.241144895 0.1820588964 0.0070537629 3.0141738035 653.087771579 241.1945617676 256.7500900269 271.2504486084 252.2504585266 5106.8335449219 1117.0527587891 162.0512893677 2.855876585 3.015595613 0 4380 0.9760589981  
4 5 0.7091520437 0.7601858532 0.0160817845 6.7854766501 548.3261613423 246.4403045654 265.2167831421 271.2502059937 263.9457382202 5208.759375 1153.8358337402 137.0342926025 3.094197122 2.428170852 0 5110 0.9667527885  
4 6 1.1019394993 0.8354868486 0.0387665114 7.6042185817 452.7235899786 251.522039032 272.1924118042 271.2500839233 272.7742095947 5303.0078125 1184.7983093262 122.1710330963 3.084202858 2.440264468 0 5840 0.9461175232  
4 7 1.137368947 0.7914745316 0.045830649 10.6231778723 375.57028601 253.4395332336 273.2197158813 271.250177002 275.145324707 5342.5684814453 1189.4381469727 110.079460144 2.485406212 2.395223884 0 6570 0.8945732956  
4 8 0.5865131618 0.3380185452 0.0322944121 9.4295146129 348.4061511067 251.3715522766 270.5951217651 271.2502441406 272.189553833 5303.7395996094 1177.1391784668 100.8476799011 2.688542497 2.711583919 0 7300 0.8394893265  
4 9 0.1693328328 0.1238303724 0.0246046827 11.1347154484 426.2775822809 246.6926841736 264.7249023438 271.2503601074 264.2786590576 5212.5964599609 1150.6991699219 101.2518489838 2.979295198 3.18191391 0 8030 0.8439793243  
