#m: month      
#r cell number     
#c1 compartmet1 lower_gas     
#c2 compartmet2 lower_fine_particle     
#c3 compartmet3 lower_coarse_particle     
#e total emission in this cell (mol/h) 
#rgp: ratio of gas to particle  
#rfcp ratio of fine to coarse particle 
#m r c1 c2 c3 e(mol/h) rgp rfcp
1 618 2 9 10 0.7505196828 1 0
1 619 2 9 10 0.8689392016 1 0
1 620 2 9 10 0.3552588261 1 0
1 621 2 9 10 0.1405188996 1 0
1 622 2 9 10 0.0837195874 1 0
1 623 2 9 10 0.036879956 1 0
1 626 2 9 10 1.4247516939 1 0
1 627 2 9 10 3.6310591567 1 0
1 628 2 9 10 6.6189223885 1 0
1 629 2 9 10 7.8784379836 1 0
1 630 2 9 10 13.6060473087 1 0
1 631 2 9 10 14.5815604089 1 0
1 632 2 9 10 10.8049826787 1 0
1 633 2 9 10 4.5287918794 1 0
1 634 2 9 10 1.8312504611 1 0
1 635 2 9 10 0.7110161199 1 0
1 636 2 9 10 1.1680872375 1 0
1 637 2 9 10 0.1908295005 1 0
1 638 2 9 10 0.6799811127 1 0
1 639 2 9 10 1.1847481418 1 0
1 640 2 9 10 1.7051316667 1 0
1 641 2 9 10 0.3914753076 1 0
1 642 2 9 10 0.5385104852 1 0
1 643 2 9 10 2.1365516596 1 0
1 644 2 9 10 5.1856001796 1 0
1 645 2 9 10 17.5360171358 1 0
1 646 2 9 10 7.4235754446 1 0
1 647 2 9 10 2.2265908892 1 0
1 648 2 9 10 1.9450532198 1 0
1 654 2 9 10 0.186935087 1 0
1 655 2 9 10 0.1962474233 1 0
1 656 2 9 10 0.0279369227 1 0
1 657 2 9 10 0.1146170844 1 0
1 658 2 9 10 0.3502293197 1 0
1 659 2 9 10 0.3216726247 1 0
1 660 2 9 10 0.0289468053 1 0
1 661 2 9 10 0.0466233914 1 0
1 662 2 9 10 0.0373195085 1 0
1 663 2 9 10 0.0499855234 1 0
1 664 2 9 10 0.0846214686 1 0
1 665 2 9 10 0.1049424419 1 0
1 666 2 9 10 0.0644615263 1 0
1 667 2 9 10 0.0367514226 1 0
1 668 2 9 10 0.0218120282 1 0
1 669 2 9 10 0.0278510665 1 0
1 670 2 9 10 0.0225316073 1 0
