#m: month      
#r cell number     
#c1 compartmet1 lower_gas     
#c2 compartmet2 lower_fine_particle     
#c3 compartmet3 lower_coarse_particle     
#e total emission in this cell (mol/h) 
#rgp: ratio of gas to particle  
#rfcp ratio of fine to coarse particle 
#m r c1 c2 c3 e(mol/h) rgp rfcp
1 206 2 9 10 7.3340400363 1 0
1 207 2 9 10 0.4369609625 1 0
1 212 2 9 10 4.5853163362 1 0
1 213 2 9 10 0.3512944798 1 0
1 214 2 9 10 13.3738408879 1 0
1 215 2 9 10 8.1968679584 1 0
1 216 2 9 10 8.3201298611 1 0
1 224 2 9 10 46.0996925638 1 0
1 225 2 9 10 8.0119805011 1 0
1 238 2 9 10 0.1029230951 1 0
1 240 2 9 10 3.1554874394 1 0
2 25 2 9 10 0.3155487439 1 0
2 26 2 9 10 2.2926584379 1 0
2 27 2 9 10 17.1949382844 1 0
2 28 2 9 10 1.4729711024 1 0
2 29 2 9 10 2.6994210978 1 0
2 30 2 9 10 0.3556085925 1 0
2 31 2 9 10 0.1516112768 1 0
2 32 2 9 10 0.1688678353 1 0
2 33 2 9 10 0.2354289389 1 0
2 34 2 9 10 0.0050044046 1 0
2 35 2 9 10 3.9813367907 1 0
2 36 2 9 10 1.1401661238 1 0
2 37 2 9 10 71.4914718228 1 0
2 38 2 9 10 170.1004003359 1 0
2 39 2 9 10 36.0538960649 1 0
2 40 2 9 10 18.7973268292 1 0
2 41 2 9 10 42.0937077099 1 0
2 42 2 9 10 77.0382574441 1 0
2 43 2 9 10 1.226448916 1 0
2 44 2 9 10 1.2572643917 1 0
2 45 2 9 10 1.9598534593 1 0
2 46 2 9 10 0.5947354425 1 0
2 47 2 9 10 0.8813177472 1 0
2 48 2 9 10 0.3112344694 1 0
2 49 2 9 10 0.1534602054 1 0
2 50 2 9 10 0.9984160151 1 0
2 51 2 9 10 4.024477917 1 0
2 52 2 9 10 55.4675324075 1 0
2 53 2 9 10 125.726439171 1 0
2 54 2 9 10 91.8295778324 1 0
2 55 2 9 10 98.6089824807 1 0
2 56 2 9 10 108.4698807287 1 0
2 57 2 9 10 5.4851222894 1 0
2 58 2 9 10 0.0099225292 1 0
2 59 2 9 10 0.0025453432 1 0
2 60 2 9 10 131.8894803382 1 0
2 61 2 9 10 489.3470013549 1 0
2 62 2 9 10 219.4048915763 1 0
2 63 2 9 10 162.0884845958 1 0
2 64 2 9 10 97.3763634537 1 0
2 65 2 9 10 49.7975172641 1 0
2 66 2 9 10 33.9584545126 1 0
2 67 2 9 10 18.181033506 1 0
2 68 2 9 10 5.5837318116 1 0
2 69 2 9 10 16.0239556055 1 0
2 70 2 9 10 13.4971027906 1 0
2 71 2 9 10 0.9059695881 1 0
2 72 2 9 10 0.0017194938 1 0
2 74 2 9 10 0.0005207786 1 0
2 76 2 9 10 53.8651492595 1 0
2 77 2 9 10 181.8103350595 1 0
2 78 2 9 10 334.6541769532 1 0
2 79 2 9 10 788.8718598453 1 0
2 80 2 9 10 194.7526729399 1 0
2 81 2 9 10 0.0123877511 1 0
2 83 2 9 10 0.8011980501 1 0
2 84 2 9 10 110.3187553016 1 0
2 85 2 9 10 172.5656923574 1 0
2 86 2 9 10 69.6425972499 1 0
2 87 2 9 10 114.0166123825 1 0
2 88 2 9 10 93.0621968594 1 0
2 89 2 9 10 52.3860172207 1 0
2 90 2 9 10 16.3937467104 1 0
2 91 2 9 10 4.992078996 1 0
2 92 2 9 10 73.9567098767 1 0
2 93 2 9 10 212.6255408956 1 0
2 94 2 9 10 170.1004003359 1 0
2 97 2 9 10 0.0224951731 1 0
2 98 2 9 10 2.8596594126 1 0
2 101 2 9 10 9.5527434913 1 0
2 102 2 9 10 157.158008488 1 0
2 103 2 9 10 87.5154652056 1 0
2 104 2 9 10 16.0855865569 1 0
2 107 2 9 10 3.9628485846 1 0
2 108 2 9 10 1.4051775956 1 0
2 109 2 9 10 11.2167683842 1 0
2 110 2 9 10 14.5448235667 1 0
2 111 2 9 10 67.7936687095 1 0
2 112 2 9 10 130.6568613112 1 0
2 113 2 9 10 48.9347001355 1 0
2 114 2 9 10 54.6046990887 1 0
2 115 2 9 10 22.1870183598 1 0
2 116 2 9 10 36.8551038292 1 0
2 117 2 9 10 26.0081157563 1 0
2 118 2 9 10 0.1380525215 1 0
2 121 2 9 10 0.0070258907 1 0
2 126 2 9 10 2.8103557309 1 0
2 127 2 9 10 16.8867835277 1 0
2 128 2 9 10 53.2488343493 1 0
2 129 2 9 10 1.2449382014 1 0
2 131 2 9 10 0.2317310818 1 0
2 132 2 9 10 3.6793462084 1 0
2 133 2 9 10 72.1077813363 1 0
2 134 2 9 10 0.1781125319 1 0
2 135 2 9 10 3.611553781 1 0
2 136 2 9 10 0.9552743491 1 0
2 137 2 9 10 1.072372617 1 0
2 138 2 9 10 17.6879804984 1 0
2 139 2 9 10 44.3740313228 1 0
2 140 2 9 10 14.5448235667 1 0
2 141 2 9 10 5.7378091899 1 0
2 142 2 9 10 0.7580563842 1 0
2 143 2 9 10 0.0118330779 1 0
2 144 2 9 10 0.0278570281 1 0
2 145 2 9 10 0.0532488343 1 0
2 146 2 9 10 0.0089364394 1 0
2 147 2 9 10 0.0184891883 1 0
2 150 2 9 10 0.0014976235 1 0
